LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC_PERCENT,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
FF5840CF,Aaosphaeria arxii,Aaosphaeria_arxii_CBS_175.79,45,38886218,2453,5683700,14617,864138.18,4,4421818,13,1183166,49.70,0,0,0
F2EE6837,Aaosphaeria pasadenensis,Aaosphaeria_pasadenensis_FJI-L9-BK-P1,89,38753540,2031,2225939,247476,435433.03,14,943274,40,314673,49.76,0,10,5
F6291E57,Abortiporus biennis,Abortiporus_biennis_CIRM-BRFM_1778,72,33116586,8018,2155831,398774,459952.58,16,721010,42,264716,44.59,0,0,3
F07B100A,Absidia glauca,Absidia_glauca_CBS_101.48_substr._RVII-324_met-,409,46842714,2011,1761326,24823,114529.86,38,326317,139,82766,41.89,0,0,0
FD115048,Absidia healeyae,Absidia_healeyae_UoMAU1,2043,42885008,2008,188561,13587,20991.19,375,34190,1247,10052,38.54,0,2,5
FEBF3DD9,Absidia repens,Absidia_repens_NRRL_1336,88,47413554,2549,3895514,337950,538790.39,11,1295254,41,354051,38.15,0,0,0
F35F2201,Absidia sp. UoMAU379,Absidia_sp._UoMAU379_UoMAU379,3682,47610523,2001,105703,9061,12930.61,746,19850,2392,5983,35.83,0,7,4
F6F9F3CD,Acaromyces ingoldii,Acaromyces_ingoldii_MCA_4198,24,19324009,2206,4518647,61476,805167.04,3,3164722,8,845561,57.40,6,10,6
F2E7168E,Acarospora aff. strigata,Acarospora_aff._strigata_T1882,475,28651879,5047,736338,19205,60319.75,50,159985,213,24720,48.74,0,5,3
FA57834A,Acarospora socialis,Acarospora_socialis_JNA_AS_CCGP158,38,31172923,15777,4079479,107902,820340.08,5,2402664,12,1437752,47.30,2,9,8
F46AF962,Acaulopage tetraceros,Acaulopage_tetraceros_T-All,401,11013203,2021,268111,14526,27464.35,57,53552,209,13038,44.43,0,0,0
F7D7056F,Acaulospora colombiana,Acaulospora_colombiana_CL356,36509,258243644,2001,86292,4747,7073.42,7655,9882,26232,3141,29.33,4,400,376
FD1E6533,Acaulospora morrowiae,Acaulospora_morrowiae_CL551,30306,181441550,2001,54029,4285,5986.98,7118,7673,22725,2850,28.05,1,52,57
F74D2E4C,Acephala macrosclerotiorum,Acephala_macrosclerotiorum_EW76-UTF0540,1305,73136807,2002,1309879,15632,56043.53,108,173129,518,24149,38.32,0,16,16
FE89BD6F,Achaetomiella virescens,Achaetomiella_virescens_148.68,274,34258665,6304,850825,98412,125031.62,60,197114,169,64138,55.07,0,5,2
F0443DCA,Achaetomium macrosporum,Achaetomium_macrosporum_CBS_532.94,931,32123987,2011,388649,14370,34504.82,108,76533,454,14789,56.12,0,6,3
